Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds,Elevation
265,26,5,220520,224215,42.17118572,-90.10871477,4442,331,3.7,-3.138,1,206.10059
266,26,6,220520,224216,42.17119982,-90.10872996,4075,321.4,3.9,0.103,1,206.10059
267,26,7,220520,224217,42.17121081,-90.10874515,4205,314.3,3.4,-0.257,1,206.10059
268,26,8,220520,224218,42.17121796,-90.10875661,4000,310.1,2.4,-0.514,1,205.5
269,26,9,220520,224219,42.17122,-90.10876,4293,309.1,0.7,-0.875,1,205.5
270,27,0,220520,224224,42.17121373,-90.10872623,3901,103.9,3.8,0,5,206.10059
271,27,1,220520,224225,42.17120876,-90.10868621,4067,99.5,6.5,1.389,1,206.10059
272,27,2,220520,224226,42.17120338,-90.10863176,4176,97.6,8.8,1.183,1,206.7002
273,27,3,220520,224227,42.17119809,-90.10857603,4270,97.3,9,0.103,1,206.7002
274,27,4,220520,224228,42.17119031,-90.10851197,4183,99.3,10.4,0.72,1,207.10059
275,27,5,220520,224229,42.17118312,-90.10844777,4498,98.6,10.4,0,1,207.40039
276,27,6,220520,224230,42.17117627,-90.10838288,4004,98.1,10.5,0.051,1,207.60059
277,27,7,220520,224231,42.17117015,-90.1083166,4049,97.1,10.7,0.103,1,208
278,27,8,220520,224232,42.17116441,-90.10824963,4313,96.6,10.8,0.051,1,207.40039
279,27,9,220520,224233,42.17116,-90.10819,4096,95.7,9.6,-0.617,1,207.7002
280,28,0,220520,224230,42.1711632,-90.10821534,4123,302.5,0.7,-4.579,-3,207.7002
281,28,1,220520,224231,42.17116505,-90.10821534,4061,0,0.4,-0.154,1,208.2998
282,28,2,220520,224232,42.17116438,-90.10820289,4016,94.2,2,0.823,1,207.7002
283,28,3,220520,224233,42.17116257,-90.10818875,4299,99.8,2.3,0.154,1,207.7002
284,28,4,220520,224234,42.17115753,-90.10813172,4367,96.8,9.2,3.55,1,208
285,28,5,220520,224235,42.17115179,-90.10808112,4214,98.7,8.2,-0.514,1,208
286,28,6,220520,224236,42.17114577,-90.10803818,4281,100.7,7,-0.617,1,208.2998
287,28,7,220520,224237,42.17114058,-90.10799885,4552,100.1,6.4,-0.309,1,208.2998
288,28,8,220520,224238,42.17113581,-90.10795248,4954,97.9,7.5,0.566,1,208.60059
289,28,9,220520,224239,42.17113,-90.1079,4322,98.5,8.5,0.514,1,208.60059
290,29,0,220520,224249,42.17101896,-90.10744376,4199,124.3,9.1,3.498,10,205.7002
291,29,1,220520,224250,42.17099007,-90.10741058,4043,139.6,8.2,-0.463,1,205.7002
292,29,2,220520,224251,42.17096259,-90.10737902,4421,139.6,7.8,-0.206,1,205.2998
293,29,3,220520,224252,42.17094008,-90.10734505,4117,131.8,7.3,-0.257,1,205
294,29,4,220520,224253,42.17092687,-90.10731792,4167,123.3,5.2,-1.08,1,205
295,29,5,220520,224254,42.17092514,-90.10731423,4599,122.3,0.7,-2.315,1,205
296,29,6,220520,224255,42.17092606,-90.10731423,4353,0,0.2,-0.257,1,205
297,29,7,220520,224256,42.17092477,-90.10732216,4481,257.6,1.3,0.566,1,205
